category,sub_category,item,link
Groceries,Gifts & Hampers,Gourmet Gifts,https://www.jiomart.com/c/groceries/gifts-hampers/gourmet-gifts/30026?flow=schedule
Groceries,Fashion Jewellery,Imitation Jewellery,https://www.jiomart.com/c/groceries/fashion-jewellery/imitation-jewellery/32802?flow=schedule
Groceries,Fashion Jewellery,Handmade Jewellery,https://www.jiomart.com/c/groceries/fashion-jewellery/handmade-jewellery/32803?flow=schedule
Fashion,Men,Western Wear,https://www.jiomart.com/c/fashion/men/western-wear/504?flow=schedule
Fashion,Men,Inner Wear,https://www.jiomart.com/c/fashion/men/inner-wear/523?flow=schedule
Fashion,Men,Ethnic Wear,https://www.jiomart.com/c/fashion/men/ethnic-wear/534?flow=schedule
Fashion,Men,Footwear,https://www.jiomart.com/c/fashion/men/footwear/1480?flow=schedule
Fashion,Men,Night & Loungewear,https://www.jiomart.com/c/fashion/men/night-loungewear/4058?flow=schedule
Fashion,Men,Clothing Accessories,https://www.jiomart.com/c/fashion/men/clothing-accessories/497?flow=schedule
Fashion,Men,Watches,https://www.jiomart.com/c/fashion/men/watches/4120?flow=schedule
Fashion,Men,Eyewear,https://www.jiomart.com/c/fashion/men/eyewear/2297?flow=schedule
Fashion,Men,"Bags, Belts & Wallets",https://www.jiomart.com/c/fashion/men/bags-belts-wallets/528?flow=schedule
Fashion,Men,Gemstones Coins & Bars,https://www.jiomart.com/c/fashion/men/gemstones-coins-bars/6123?flow=schedule
Fashion,Men,Silver Jewellery,https://www.jiomart.com/c/fashion/men/silver-jewellery/6122?flow=schedule
Fashion,Men,Accessories,https://www.jiomart.com/c/fashion/men/accessories/20648?flow=schedule
Fashion,Men,Watch Accessories,https://www.jiomart.com/c/fashion/men/watch-accessories/4608?flow=schedule
Fashion,Women,Ethnic Wear,https://www.jiomart.com/c/fashion/women/ethnic-wear/494?flow=schedule
Fashion,Women,Western Wear,https://www.jiomart.com/c/fashion/women/western-wear/510?flow=schedule
Fashion,Women,Footwear,https://www.jiomart.com/c/fashion/women/footwear/1483?flow=schedule
Fashion,Women,"Bags, Belts & Wallets",https://www.jiomart.com/c/fashion/women/bags-belts-wallets/544?flow=schedule
Fashion,Women,Watches,https://www.jiomart.com/c/fashion/women/watches/4121?flow=schedule
Fashion,Women,Eyewear,https://www.jiomart.com/c/fashion/women/eyewear/2301?flow=schedule
Fashion,Women,Lingerie & Innerwear,https://www.jiomart.com/c/fashion/women/lingerie-innerwear/537?flow=schedule
Fashion,Women,Night & Lounge Wear,https://www.jiomart.com/c/fashion/women/night-lounge-wear/1414?flow=schedule
Fashion,Women,Night & Loungewear,https://www.jiomart.com/c/fashion/women/night-loungewear/3962?flow=schedule
Fashion,Women,Clothing Accessories,https://www.jiomart.com/c/fashion/women/clothing-accessories/513?flow=schedule
Fashion,Women,Gemstones Coins & Bars,https://www.jiomart.com/c/fashion/women/gemstones-coins-bars/6126?flow=schedule
Fashion,Women,Silver Jewellery,https://www.jiomart.com/c/fashion/women/silver-jewellery/6124?flow=schedule
Fashion,Women,Fusion Wear,https://www.jiomart.com/c/fashion/women/fusion-wear/573?flow=schedule
Fashion,Women,Accessories,https://www.jiomart.com/c/fashion/women/accessories/20649?flow=schedule
Fashion,Women,Fashion Jewellery,https://www.jiomart.com/c/fashion/women/fashion-jewellery/2285?flow=schedule
Fashion,Women,Watch Accessories,https://www.jiomart.com/c/fashion/women/watch-accessories/4609?flow=schedule
Fashion,Women,Precious Articles,https://www.jiomart.com/c/fashion/women/precious-articles/6125?flow=schedule
Fashion,Women,Handloom & Handicraft,https://www.jiomart.com/c/fashion/women/handloom-handicraft/6178?flow=schedule
Fashion,Boys,Western Wear,https://www.jiomart.com/c/fashion/boys/western-wear/500?flow=schedule
Fashion,Boys,Ethnic Wear,https://www.jiomart.com/c/fashion/boys/ethnic-wear/598?flow=schedule
Fashion,Boys,Footwear,https://www.jiomart.com/c/fashion/boys/footwear/1470?flow=schedule
Fashion,Boys,Night & Loungewear,https://www.jiomart.com/c/fashion/boys/night-loungewear/4057?flow=schedule
Fashion,Boys,Inner Wear,https://www.jiomart.com/c/fashion/boys/inner-wear/4056?flow=schedule
Fashion,Boys,Clothing Accessories,https://www.jiomart.com/c/fashion/boys/clothing-accessories/617?flow=schedule
Fashion,Boys,"Bags, Belts & Wallets",https://www.jiomart.com/c/fashion/boys/bags-belts-wallets/2060?flow=schedule
Fashion,Boys,Watches,https://www.jiomart.com/c/fashion/boys/watches/4118?flow=schedule
Fashion,Boys,Eyewear,https://www.jiomart.com/c/fashion/boys/eyewear/4104?flow=schedule
Fashion,Boys,Watch Accessories,https://www.jiomart.com/c/fashion/boys/watch-accessories/4606?flow=schedule
Fashion,Boys,Accessories,https://www.jiomart.com/c/fashion/boys/accessories/20650?flow=schedule
Fashion,Girls,Western Wear,https://www.jiomart.com/c/fashion/girls/western-wear/564?flow=schedule
Fashion,Girls,Ethnic Wear,https://www.jiomart.com/c/fashion/girls/ethnic-wear/594?flow=schedule
Fashion,Girls,Footwear,https://www.jiomart.com/c/fashion/girls/footwear/1472?flow=schedule
Fashion,Girls,Night & Loungewear,https://www.jiomart.com/c/fashion/girls/night-loungewear/1561?flow=schedule
Fashion,Girls,Inner Wear,https://www.jiomart.com/c/fashion/girls/inner-wear/4099?flow=schedule
Fashion,Girls,Clothing Accessories,https://www.jiomart.com/c/fashion/girls/clothing-accessories/619?flow=schedule
Fashion,Girls,"Bags, Belts & Wallets",https://www.jiomart.com/c/fashion/girls/bags-belts-wallets/1432?flow=schedule
Fashion,Girls,Watches,https://www.jiomart.com/c/fashion/girls/watches/4119?flow=schedule
Fashion,Girls,Eyewear,https://www.jiomart.com/c/fashion/girls/eyewear/4105?flow=schedule
Fashion,Girls,Watch Accessories,https://www.jiomart.com/c/fashion/girls/watch-accessories/4607?flow=schedule
Fashion,Girls,Accessories,https://www.jiomart.com/c/fashion/girls/accessories/20651?flow=schedule
Fashion,Infants,Western Wear,https://www.jiomart.com/c/fashion/infants/western-wear/551?flow=schedule
Fashion,Infants,Clothing Accessories,https://www.jiomart.com/c/fashion/infants/clothing-accessories/1652?flow=schedule
Fashion,Infants,Footwear,https://www.jiomart.com/c/fashion/infants/footwear/1474?flow=schedule
Fashion,Crafts of India,Footwear,https://www.jiomart.com/c/fashion/crafts-of-india/footwear/32854?flow=schedule
Fashion,Crafts of India,Women,https://www.jiomart.com/c/fashion/crafts-of-india/women/32855?flow=schedule
Electronics,Mobiles & Tablets,Mobiles,https://www.jiomart.com/c/electronics/mobiles-tablets/mobiles/32118?flow=schedule
Electronics,Mobiles & Tablets,Tablets & eReaders,https://www.jiomart.com/c/electronics/mobiles-tablets/tablets-ereaders/776?flow=schedule
Electronics,Mobiles & Tablets,Charger & Powerbanks,https://www.jiomart.com/c/electronics/mobiles-tablets/charger-powerbanks/32117?flow=schedule
Electronics,Mobiles & Tablets,Accessories,https://www.jiomart.com/c/electronics/mobiles-tablets/accessories/32016?flow=schedule
Electronics,Personal Care & Grooming Appliances,Shavers & Trimmers,https://www.jiomart.com/c/electronics/personal-care-grooming-appliances/shavers-trimmers/32170?flow=schedule
Electronics,Personal Care & Grooming Appliances,Hair Dryers & Stylers,https://www.jiomart.com/c/electronics/personal-care-grooming-appliances/hair-dryers-stylers/32168?flow=schedule
Electronics,Personal Care & Grooming Appliances,Fitness & Massagers,https://www.jiomart.com/c/electronics/personal-care-grooming-appliances/fitness-massagers/32167?flow=schedule
Electronics,Personal Care & Grooming Appliances,Health & Oral Care,https://www.jiomart.com/c/electronics/personal-care-grooming-appliances/health-oral-care/32169?flow=schedule
Electronics,Audio & Smart Home,Headphones & Earbuds,https://www.jiomart.com/c/electronics/audio-smart-home/headphones-earbuds/32120?flow=schedule
Electronics,Audio & Smart Home,Bluetooth & Smart Speakers,https://www.jiomart.com/c/electronics/audio-smart-home/bluetooth-smart-speakers/32121?flow=schedule
Electronics,Audio & Smart Home,Karaoke & Radio,https://www.jiomart.com/c/electronics/audio-smart-home/karaoke-radio/32122?flow=schedule
Electronics,Audio & Smart Home,Smart Home Devices,https://www.jiomart.com/c/electronics/audio-smart-home/smart-home-devices/32702?flow=schedule
Electronics,Computers & Accessories,Laptops & Desktops,https://www.jiomart.com/c/electronics/computers-accessories/laptops-desktops/31996?flow=schedule
Electronics,Computers & Accessories,Printers & Inks,https://www.jiomart.com/c/electronics/computers-accessories/printers-inks/32137?flow=schedule
Electronics,Computers & Accessories,Storage,https://www.jiomart.com/c/electronics/computers-accessories/storage/32138?flow=schedule
Electronics,Computers & Accessories,IT Peripherals & Accessories,https://www.jiomart.com/c/electronics/computers-accessories/it-peripherals-accessories/32127?flow=schedule
Electronics,Kitchen Appliances,Breakfast Appliances,https://www.jiomart.com/c/electronics/kitchen-appliances/breakfast-appliances/32364?flow=schedule
Electronics,Kitchen Appliances,Cooking Appliances,https://www.jiomart.com/c/electronics/kitchen-appliances/cooking-appliances/32366?flow=schedule
Electronics,Kitchen Appliances,Juicers & Mixer Grinders,https://www.jiomart.com/c/electronics/kitchen-appliances/juicers-mixer-grinders/32332?flow=schedule
Electronics,Kitchen Appliances,Juicer Mixer Grinders,https://www.jiomart.com/c/electronics/kitchen-appliances/juicer-mixer-grinders/728?flow=schedule
Electronics,Kitchen Appliances,Chimneys & Hobs,https://www.jiomart.com/c/electronics/kitchen-appliances/chimneys-hobs/32660?flow=schedule
Electronics,TV & Home Entertainment,Televisions,https://www.jiomart.com/c/electronics/tv-home-entertainment/televisions/32152?flow=schedule
Electronics,TV & Home Entertainment,Television Accessories,https://www.jiomart.com/c/electronics/tv-home-entertainment/television-accessories/32151?flow=schedule
Electronics,TV & Home Entertainment,Home Audio,https://www.jiomart.com/c/electronics/tv-home-entertainment/home-audio/32150?flow=schedule
Electronics,TV & Home Entertainment,Gaming,https://www.jiomart.com/c/electronics/tv-home-entertainment/gaming/32149?flow=schedule
Electronics,Home Appliances,Fans & Air Coolers,https://www.jiomart.com/c/electronics/home-appliances/fans-air-coolers/32139?flow=schedule
Electronics,Home Appliances,Water Purifiers,https://www.jiomart.com/c/electronics/home-appliances/water-purifiers/32143?flow=schedule
Electronics,Home Appliances,Geysers & Heaters,https://www.jiomart.com/c/electronics/home-appliances/geysers-heaters/32140?flow=schedule
Electronics,Home Appliances,Vacuum Cleaners,https://www.jiomart.com/c/electronics/home-appliances/vacuum-cleaners/796?flow=schedule
Electronics,Home Appliances,Air Purifiers,https://www.jiomart.com/c/electronics/home-appliances/air-purifiers/821?flow=schedule
Electronics,Home Appliances,Invertors & Stabilizers,https://www.jiomart.com/c/electronics/home-appliances/invertors-stabilizers/32141?flow=schedule
Electronics,Home Appliances,Sewing Machines,https://www.jiomart.com/c/electronics/home-appliances/sewing-machines/809?flow=schedule
Electronics,Wearables & Smart Tech,Smart Watches,https://www.jiomart.com/c/electronics/wearables-smart-tech/smart-watches/32695?flow=schedule
Electronics,Wearables & Smart Tech,Smart Watch Accessories,https://www.jiomart.com/c/electronics/wearables-smart-tech/smart-watch-accessories/32154?flow=schedule
Electronics,Wearables & Smart Tech,Smart Glasses & VR Headset,https://www.jiomart.com/c/electronics/wearables-smart-tech/smart-glasses-vr-headset/32155?flow=schedule
Electronics,Camera & Musical Instruments,Camera,https://www.jiomart.com/c/electronics/camera-musical-instruments/camera/32165?flow=schedule
Electronics,Camera & Musical Instruments,Accessories,https://www.jiomart.com/c/electronics/camera-musical-instruments/accessories/32025?flow=schedule
Electronics,Camera & Musical Instruments,Musical Instruments,https://www.jiomart.com/c/electronics/camera-musical-instruments/musical-instruments/32164?flow=schedule
Electronics,Large Appliances,Air Conditioners,https://www.jiomart.com/c/electronics/large-appliances/air-conditioners/32145?flow=schedule
Electronics,Large Appliances,Refrigerators,https://www.jiomart.com/c/electronics/large-appliances/refrigerators/32527?flow=schedule
Electronics,Large Appliances,Washing Machines,https://www.jiomart.com/c/electronics/large-appliances/washing-machines/32147?flow=schedule
Electronics,Large Appliances,Microwave OTG & Air Fryers,https://www.jiomart.com/c/electronics/large-appliances/microwave-otg-air-fryers/32146?flow=schedule
Precious Jewellery,Fine Jewellery,Silver Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911?flow=schedule
Precious Jewellery,Fine Jewellery,Diamond Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/diamond-jewellery/20216?flow=schedule
Home & Lifestyle,Kitchenware,Cookware,https://www.jiomart.com/c/homeandkitchen/kitchenware/cookware/8740?flow=schedule
Home & Lifestyle,Kitchenware,Cookers & Steamers,https://www.jiomart.com/c/homeandkitchen/kitchenware/cookers-steamers/33025?flow=schedule
Home & Lifestyle,Kitchenware,Gas Stove,https://www.jiomart.com/c/homeandkitchen/kitchenware/gas-stove/8742?flow=schedule
Home & Lifestyle,Kitchenware,Pots & Pans,https://www.jiomart.com/c/homeandkitchen/kitchenware/pots-pans/33028?flow=schedule
Home & Lifestyle,Kitchenware,Containers & Storage,https://www.jiomart.com/c/homeandkitchen/kitchenware/containers-storage/8739?flow=schedule
Home & Lifestyle,Kitchenware,"Flask, Bottle & Tiffin Boxes",https://www.jiomart.com/c/homeandkitchen/kitchenware/flask-bottle-tiffin-boxes/33027?flow=schedule
Home & Lifestyle,Kitchenware,Cutting & Chopping,https://www.jiomart.com/c/homeandkitchen/kitchenware/cutting-chopping/33026?flow=schedule
Home & Lifestyle,Kitchenware,Kitchen Tools,https://www.jiomart.com/c/homeandkitchen/kitchenware/kitchen-tools/8743?flow=schedule
Home & Lifestyle,Kitchenware,Bakeware,https://www.jiomart.com/c/homeandkitchen/kitchenware/bakeware/8738?flow=schedule
Home & Lifestyle,Home Furnishing,Bedding,https://www.jiomart.com/c/homeandkitchen/home-furnishing/bedding/31421?flow=schedule
Home & Lifestyle,Home Furnishing,Curtains & Accessories,https://www.jiomart.com/c/homeandkitchen/home-furnishing/curtains-accessories/31415?flow=schedule
Home & Lifestyle,Home Furnishing,Bathroom Linen,https://www.jiomart.com/c/homeandkitchen/home-furnishing/bathroom-linen/31431?flow=schedule
Home & Lifestyle,Home Furnishing,Kitchen Linens,https://www.jiomart.com/c/homeandkitchen/home-furnishing/kitchen-linens/31377?flow=schedule
Home & Lifestyle,Home Furnishing,Cushions & Cushion Covers,https://www.jiomart.com/c/homeandkitchen/home-furnishing/cushions-cushion-covers/31417?flow=schedule
Home & Lifestyle,Home Furnishing,Slipcovers & Diwan Set,https://www.jiomart.com/c/homeandkitchen/home-furnishing/slipcovers-diwan-set/31386?flow=schedule
